,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Naze,JP,28.37,129.48,66.46999999999997,52,75,3.1
1,Ereymentau,KZ,51.62,73.1,15.116000000000007,81,61,8.27
2,New Norfolk,AU,-42.78,147.06,70.26799999999999,39,40,7.2
3,Faanui,PF,-16.48,-151.75,83.084,76,100,8.09
4,Albany,US,42.6,-73.97,26.86999999999996,45,75,3.6
5,Hilo,US,19.73,-155.09,73.66999999999996,78,90,4.1
6,Cape Town,ZA,-33.93,18.42,69.27799999999996,100,75,8.2
7,Mataura,NZ,-46.19,168.86,73.41799999999998,58,91,3.56
8,Waitati,NZ,-45.75,170.57,63.266000000000005,78,95,0.45
9,Soyo,AO,-6.13,12.37,75.45199999999997,86,91,1.48
10,Bredasdorp,ZA,-34.53,20.04,70.06999999999996,88,58,4.1
11,Cabo San Lucas,MX,22.89,-109.91,71.86999999999996,60,5,2.1
12,East London,ZA,-33.02,27.91,70.06999999999996,94,100,3.6
13,Sao Filipe,CV,14.9,-24.5,72.55399999999995,61,56,9.39
14,Aketi,CD,2.74,23.78,71.07799999999997,89,24,0.93
15,Thompson,CA,55.74,-97.86,7.069999999999958,50,75,5.7
16,Fairbanks,US,64.84,-147.72,19.66999999999996,85,90,2.6
17,Yellowknife,CA,62.46,-114.35,8.869999999999958,84,75,4.6
18,Ribeira Grande,PT,38.52,-28.7,53.86999999999996,54,40,2.6
19,Kletskaya,RU,49.31,43.06,34.26799999999999,95,100,2.45
20,Husavik,IS,66.04,-17.34,35.86999999999996,97,90,5.1
21,Hermanus,ZA,-34.42,19.23,66.27200000000005,97,71,6.21
22,Hazorasp,UZ,41.32,61.07,26.86999999999996,86,66,4.1
23,Punta Arenas,CL,-53.15,-70.92,46.66999999999996,52,75,5.1
24,Chokurdakh,RU,70.63,147.92,-11.271999999999984,90,72,3.17
25,Verkhnyaya Inta,RU,65.98,60.31,27.98599999999997,96,100,4.59
26,North Bend,US,43.41,-124.22,51.27799999999996,75,1,2.6
27,Baracoa,CU,20.35,-74.5,78.53000000000004,81,3,8.24
28,Samarai,PG,-10.62,150.67,91.45399999999995,51,100,0.72
29,La Ronge,CA,55.1,-105.28,8.869999999999958,65,40,3.6
30,Saint-Philippe,RE,-21.36,55.77,77.26999999999995,50,75,2.6
31,Narsaq,GL,60.92,-46.05,7.069999999999958,46,86,4.1
32,Atuona,PF,-9.8,-139.03,82.25600000000003,79,27,7.85
33,Klaksvik,FO,62.23,-6.59,37.66999999999996,74,100,13.9
34,Bagratashen,AM,41.24,44.82,41.26999999999996,60,99,1.5
35,Ushuaia,AR,-54.8,-68.3,48.469999999999956,87,90,10.8
36,Mar del Plata,AR,-38.0,-57.56,62.27599999999999,87,40,8.2
37,Erenhot,CN,43.65,111.98,26.456000000000028,70,100,9.56
38,Lebu,CL,-37.62,-73.65,56.101999999999975,64,0,3.93
39,Seymchan,RU,62.88,152.43,-13.486000000000018,93,100,1.63
40,Tuktoyaktuk,CA,69.45,-133.04,10.669999999999959,85,90,3.1
41,Flinders,AU,-34.58,150.86,77.26999999999995,43,4,4.6
42,Rikitea,PF,-23.12,-134.97,78.89000000000001,79,21,5.86
43,Guanica,PR,17.97,-66.91,77.26999999999995,91,0,1.6
44,Tunceli,TR,39.11,39.55,34.06999999999996,100,75,2.6
45,Longyearbyen,SJ,78.22,15.64,8.869999999999958,60,75,9.8
46,Nanortalik,GL,60.14,-45.24,17.222000000000037,67,100,2.85
47,Bubaque,GW,11.28,-15.83,79.30399999999995,72,64,7.51
48,Mahebourg,MU,-20.41,57.7,79.06999999999996,78,40,3.6
49,Cidreira,BR,-30.18,-50.21,75.57799999999997,78,0,5.89
50,Alice Springs,AU,-23.7,133.88,89.86999999999996,11,0,4.6
51,Avarua,CK,-21.21,-159.78,79.06999999999996,94,100,5.7
52,Kapaa,US,22.08,-159.32,79.06999999999996,73,90,10.8
53,Jamestown,US,42.1,-79.24,26.86999999999996,73,90,2.6
54,Te Anau,NZ,-45.42,167.72,61.84399999999997,71,92,0.54
55,Ranong,TH,9.97,98.63,86.26999999999995,66,75,1.5
56,Sorland,NO,67.67,12.69,36.23000000000004,68,69,8.83
57,Touros,BR,-5.2,-35.46,77.26999999999995,94,75,1.5
58,George Town,MY,5.41,100.34,88.06999999999996,58,20,3.1
59,Torbay,CA,47.67,-52.73,32.26999999999996,80,75,12.3
60,Codrington,AU,-38.27,141.97,58.71199999999996,71,99,5.23
61,Tessalit,ML,20.2,1.01,65.20999999999998,15,7,6.73
62,Cherskiy,RU,68.75,161.3,-18.813999999999986,95,98,2.09
63,De Aar,ZA,-30.65,24.01,66.74000000000002,82,0,2.32
64,Quatre Cocos,MU,-20.21,57.76,79.06999999999996,78,40,3.6
65,Hong Kong,HK,22.29,114.16,71.27599999999998,45,20,5.7
66,Clyde River,CA,70.47,-68.59,-12.72999999999999,83,90,7.7
67,Farafangana,MG,-22.82,47.83,80.47400000000002,75,100,6.19
68,Fort Nelson,CA,58.81,-122.7,12.46999999999996,85,20,1.0
69,Severo-Yeniseyskiy,RU,60.37,93.04,18.42799999999996,91,100,5.74
70,Upernavik,GL,72.79,-56.15,1.0759999999999863,95,100,3.17
71,Lukovetskiy,RU,64.3,41.92,30.46999999999996,92,90,5.0
72,Brae,GB,60.4,-1.35,46.66999999999996,81,100,10.3
73,Aden,YE,12.78,45.04,73.99399999999997,80,33,2.64
74,Santo Antonio do Ica,BR,-3.1,-67.94,75.72200000000004,96,80,0.45
75,Barrow,US,71.29,-156.79,-1.9299999999999926,77,90,3.1
76,Butaritari,KI,3.07,172.79,83.174,81,100,6.54
77,Ludwigsfelde,DE,52.3,13.27,39.272000000000034,79,20,4.1
78,Darhan,MN,49.49,105.92,12.811999999999955,92,100,1.26
79,Sabang,ID,5.89,95.32,83.084,77,13,11.39
80,Natitingou,BJ,10.3,1.38,80.86999999999996,19,0,6.2
81,Progreso,MX,21.28,-89.67,80.86999999999996,78,5,2.1
82,Mayo,US,38.89,-76.51,42.27799999999996,41,1,3.56
83,Zhezkazgan,KZ,47.8,67.71,3.46999999999996,91,75,2.0
84,Dikson,RU,73.51,80.55,12.29000000000002,95,100,4.39
85,Lityn,UA,49.33,28.08,35.438000000000045,98,100,1.03
86,Villa Carlos Paz,AR,-31.42,-64.5,71.27599999999998,93,0,1.5
87,Kashgar,CN,39.45,75.98,28.66999999999996,42,0,4.0
88,Ostrovnoy,RU,68.05,39.51,5.485999999999965,86,75,3.34
89,Tyup,KG,42.73,78.36,17.05999999999998,50,0,0.39
90,Saskylakh,RU,71.92,114.08,-8.517999999999986,97,0,2.51
91,Alta Floresta,BR,-9.88,-56.09,73.83200000000002,92,100,0.69
92,Karratha,AU,-20.74,116.85,85.49600000000005,79,0,3.08
93,Nikolskoye,RU,59.7,30.79,36.266000000000005,93,90,2.0
94,Bluff,NZ,-46.6,168.33,71.6,51,100,3.32
95,Quelimane,MZ,-17.88,36.89,79.06999999999996,88,20,2.1
96,Ilulissat,GL,69.22,-51.1,-0.12999999999998835,70,100,1.5
97,Kirakira,SB,-10.45,161.92,83.31799999999998,77,21,0.92
98,Constitucion,CL,-35.33,-72.42,61.25,39,0,2.52
99,Kalmunai,LK,7.42,81.82,80.27599999999998,76,100,5.86
100,West Bay,KY,19.37,-81.42,80.86999999999996,83,20,2.6
101,Damietta,EG,31.42,31.81,55.66999999999996,87,0,4.1
102,Isla Vista,US,34.41,-119.86,56.26400000000004,82,1,2.1
103,Yerbogachen,RU,61.28,108.01,9.859999999999978,94,100,2.95
104,Kiryat Gat,IL,31.61,34.76,56.26400000000004,93,40,2.6
105,Busselton,AU,-33.65,115.33,90.26600000000002,19,0,5.8
106,Nouadhibou,MR,20.93,-17.03,64.66999999999996,82,0,8.2
107,Araouane,ML,18.9,-3.53,70.7,12,48,2.82
108,Mossamedes,AO,-15.2,12.15,74.73200000000003,70,100,3.31
109,Vao,NC,-22.67,167.48,79.44800000000004,73,47,3.68
110,Airai,TL,-8.93,125.41,80.16799999999998,69,43,1.37
111,Sapele,NG,5.89,5.68,78.00800000000001,91,29,0.86
112,Shelburne,CA,44.08,-80.2,22.261999999999954,79,90,2.6
113,Kaitangata,NZ,-46.28,169.85,63.266000000000005,78,86,4.92
114,Kavieng,PG,-2.57,150.8,83.87599999999999,73,0,5.4
115,Lavrentiya,RU,65.58,-171.0,-8.698000000000029,83,96,4.1
116,Jacareacanga,BR,-6.22,-57.75,73.976,99,100,1.25
117,Qaanaaq,GL,77.48,-69.36,-12.17199999999999,52,0,1.77
118,Kudahuvadhoo,MV,2.67,72.89,82.13000000000005,77,45,7.33
119,Marsabit,KE,2.33,37.99,77.342,61,40,6.65
120,Saint George's,GD,12.06,-61.75,73.66999999999996,94,90,6.2
121,San Cristobal,VE,7.77,-72.22,84.46999999999997,62,20,1.0
122,Mackenzie,CA,55.3,-123.17,26.86999999999996,79,1,2.6
123,Mount Isa,AU,-20.73,139.5,97.06999999999996,18,0,3.6
124,Balabac,PH,7.99,117.06,82.868,73,67,9.79
125,Labuhan,ID,-6.88,112.21,78.83599999999997,88,100,3.57
126,Ponta do Sol,PT,32.67,-17.1,61.069999999999965,59,40,6.2
127,Yarada,IN,17.65,83.27,79.06999999999996,69,40,1.0
128,Meulaboh,ID,4.14,96.13,79.98800000000006,82,5,2.76
129,Vanimo,PG,-2.67,141.3,81.75199999999998,73,76,4.84
130,Manggar,ID,-2.88,108.27,82.70600000000003,80,99,9.08
131,Castro,BR,-24.79,-50.01,66.91999999999996,97,94,1.12
132,Puerto Ayora,EC,-0.74,-90.35,78.42200000000004,87,27,3.37
133,Mandalgovi,MN,45.76,106.27,14.216000000000008,77,90,9.85
134,Oussouye,SN,12.48,-16.55,73.66999999999996,88,92,1.0
135,Peace River,CA,56.25,-117.29,26.86999999999996,63,40,5.1
136,Krasnozerskoye,RU,53.98,79.24,27.64399999999997,95,100,6.99
137,Luanda,AO,-8.84,13.23,75.46999999999997,88,75,3.1
138,Kruisfontein,ZA,-34.0,24.73,74.87599999999999,47,33,2.65
139,Hobart,AU,-42.88,147.33,70.26799999999999,39,40,7.2
140,Ilhabela,BR,-23.78,-45.36,81.12200000000004,81,63,1.42
141,Novyy Urgal,RU,51.07,132.56,10.63399999999999,80,100,1.46
142,Srednekolymsk,RU,67.45,153.68,-14.332000000000015,95,82,2.36
143,Port Hedland,AU,-20.32,118.57,98.86999999999996,42,0,3.1
144,Itarema,BR,-2.92,-39.92,75.10999999999999,94,100,1.52
145,Port Alfred,ZA,-33.59,26.89,69.27799999999996,95,35,3.03
146,Tahe,CN,52.33,124.73,12.127999999999961,65,0,2.91
147,Mandal,IN,25.45,74.57,69.25999999999999,32,0,1.17
148,Kodiak,US,57.79,-152.41,34.06999999999996,86,90,8.2
149,Kamenka,RU,51.32,42.77,34.26799999999999,94,100,0.45
150,Iqaluit,CA,63.75,-68.51,-30.72999999999999,59,40,1.0
151,Kribi,CM,2.95,9.92,78.18800000000005,90,43,1.55
152,Bereda,ES,43.27,-7.54,45.266000000000005,100,0,3.1
153,Makubetsu,JP,45.37,141.82,28.66999999999996,58,75,8.7
154,Kjollefjord,NO,70.95,27.35,27.391999999999996,87,100,7.75
155,Talnakh,RU,69.49,88.4,14.269999999999957,92,75,14.0
156,Kitob,UZ,39.08,66.83,37.45399999999995,32,0,1.41
157,Bengkulu,ID,-3.8,102.27,86.93599999999998,57,5,1.4
158,Rawson,AR,-43.3,-65.1,61.016000000000005,51,0,6.83
159,Olinda,BR,-8.01,-34.86,79.06999999999996,83,75,8.2
160,Darlington,GB,54.52,-1.55,50.26999999999996,87,100,3.6
161,Sur,OM,22.57,59.53,67.892,42,10,1.79
162,Vaini,TO,-21.2,-175.2,82.66999999999996,65,20,5.1
163,Yar-Sale,RU,66.83,70.83,15.566000000000006,85,100,2.21
164,Savelugu,GH,9.62,-0.83,79.64600000000004,13,0,3.1
165,Amapa,BR,1.0,-52.0,72.59000000000003,93,100,1.33
166,Aklavik,CA,68.22,-135.01,14.269999999999957,92,90,2.6
167,Bajil,YE,15.06,43.29,69.53000000000004,86,16,1.26
168,Sitka,US,57.05,-135.33,39.469999999999956,80,90,5.7
169,Nuuk,GL,64.18,-51.72,8.869999999999958,78,30,8.2
170,Carnarvon,AU,-24.87,113.63,88.06999999999996,48,40,6.7
171,Nalut,LY,30.33,10.85,46.435999999999964,76,20,4.72
172,Ust'-Koksa,RU,50.27,85.61,4.693999999999971,94,100,5.55
173,Siguiri,GN,11.67,-9.5,71.41999999999996,15,0,1.31
174,Nyaunglebin,MM,17.95,96.73,86.19800000000004,32,25,1.24
175,Kui Buri,TH,12.08,99.85,86.26999999999995,51,0,3.1
176,Hobyo,SO,5.35,48.53,75.68599999999998,88,73,3.36
177,Salta,AR,-24.79,-65.41,68.26999999999995,93,75,0.23
178,Ballina,AU,-28.87,153.57,85.26199999999996,61,0,7.2
179,Gol,NO,60.7,8.95,17.27599999999999,83,100,1.7
180,Huarmey,PE,-10.07,-78.15,73.75999999999999,72,100,0.63
181,Hay River,CA,60.82,-115.8,26.86999999999996,68,40,5.1
182,Hindoria,IN,23.9,79.57,70.484,20,100,1.98
183,Humaita,BR,-7.51,-63.02,75.63200000000002,90,100,0.85
184,Leningradskiy,RU,69.38,178.42,-9.52599999999999,92,100,9.69
185,Saint George,US,37.1,-113.58,48.469999999999956,26,1,7.2
186,Barhi,IN,23.9,80.8,69.81799999999998,21,100,1.92
187,Luganville,VU,-15.53,167.17,86.26999999999995,70,20,2.6
188,Havelock,US,34.88,-76.9,49.26199999999996,45,90,3.1
189,Haverfordwest,GB,51.8,-4.97,49.26199999999996,93,99,13.4
190,Carcaliu,RO,45.18,28.15,37.66999999999996,93,100,1.0
191,Arraial do Cabo,BR,-22.97,-42.03,77.26999999999995,88,100,6.7
192,Svetlogorsk,BY,52.63,29.73,33.8,88,84,2.63
193,Chui,UY,-33.7,-53.46,68.07200000000003,88,0,2.04
194,Savinka,RU,50.08,47.1,33.63800000000005,97,100,2.86
195,Souillac,MU,-20.52,57.52,79.06999999999996,78,40,3.6
196,Port Elizabeth,ZA,-33.92,25.57,66.46999999999997,93,70,1.5
197,Yulara,AU,-25.24,130.99,89.86999999999996,11,98,5.1
198,Baculin,PH,7.45,126.58,77.77400000000002,74,37,3.43
199,Sioux Lookout,CA,50.1,-91.92,-7.329999999999991,69,5,2.1
200,Marsh Harbour,BS,26.54,-77.06,75.542,84,4,3.6
201,Road Town,VG,18.42,-64.62,77.26999999999995,78,1,4.6
202,Makakilo City,US,21.35,-158.09,80.27599999999998,78,90,4.6
203,Blythe,US,33.61,-114.6,64.66999999999996,22,1,2.6
204,Bathsheba,BB,13.22,-59.52,77.26999999999995,73,20,8.7
205,Esperance,AU,-33.87,121.9,77.26999999999995,41,40,5.7
206,Khatanga,RU,71.97,102.5,-10.983999999999995,83,0,1.76
207,Bud,US,39.45,-86.18,33.27799999999996,61,90,3.1
208,Buta,CD,2.79,24.73,70.12400000000002,94,95,0.88
209,Dingle,PH,11.0,122.67,76.76600000000002,82,100,8.0
210,Qandala,SO,11.47,49.87,73.25600000000003,77,96,1.84
211,Ulaanbaatar,MN,47.91,106.88,12.46999999999996,72,75,9.0
212,Langenburg,DE,49.25,9.85,43.26799999999999,74,99,2.6
213,Kisangani,CD,0.52,25.2,71.41999999999996,96,65,0.41
214,Kenai,US,60.55,-151.26,28.66999999999996,74,1,2.6
215,Adrar,MR,20.5,-10.07,67.87400000000002,15,0,5.14
216,Smolenka,RU,52.14,113.5,10.669999999999959,60,98,4.0
217,Namatanai,PG,-3.67,152.43,84.03800000000004,74,5,5.34
218,Nome,US,64.5,-165.41,8.869999999999958,71,90,2.6
219,Laguna,US,38.42,-121.42,58.26199999999996,50,1,1.46
220,San Patricio,MX,19.22,-104.7,76.55000000000001,79,0,1.88
221,Sobolevo,RU,54.43,31.9,35.07799999999996,89,100,3.48
222,Flin Flon,CA,54.77,-101.86,1.2559999999999754,88,0,4.75
223,Vila Franca do Campo,PT,37.72,-25.43,53.86999999999996,62,20,5.7
224,Barcelos,PT,41.54,-8.62,47.26400000000003,100,0,1.0
225,Kalininsk,RU,51.5,44.48,31.874000000000013,95,100,1.8
226,Mocorito,MX,25.48,-107.92,69.27799999999996,57,4,1.79
227,Bethel,US,41.37,-73.41,35.86999999999996,46,1,2.1
228,Vostok,RU,46.49,135.88,11.317999999999984,87,100,5.94
229,Burnie,AU,-41.07,145.92,65.26400000000004,54,0,5.36
230,Phu Ly,VN,20.54,105.91,70.91600000000001,78,100,2.71
231,Cascais,PT,38.7,-9.42,56.26400000000004,76,0,2.6
232,Acarau,BR,-2.89,-40.12,75.10999999999999,94,100,1.52
233,Bowen,AU,-20.02,148.23,94.26199999999996,62,75,2.6
234,Price,US,39.6,-110.81,25.267999999999983,45,1,3.1
235,Norman Wells,CA,65.28,-126.83,8.869999999999958,78,75,2.6
236,Salalah,OM,17.02,54.09,71.86999999999996,78,75,1.5
237,Manche,FR,49.0,-1.17,48.469999999999956,81,90,5.7
238,Auki,SB,-8.77,160.7,84.50600000000003,78,100,9.2
239,Kysyl-Syr,RU,63.9,122.76,4.964000000000031,95,100,2.86
240,Kununurra,AU,-15.77,128.73,97.06999999999996,47,100,4.1
241,Beira,MZ,-19.84,34.84,79.06999999999996,94,75,2.6
242,Vestmanna,FO,62.16,-7.17,37.66999999999996,74,100,13.9
243,Silopi,TR,37.25,42.47,49.90999999999998,96,100,1.81
244,Kangaatsiaq,GL,68.31,-53.46,9.122000000000035,86,100,2.46
245,Lompoc,US,34.64,-120.46,55.66999999999996,87,1,4.83
246,Khandyga,RU,62.67,135.6,-14.458000000000006,89,58,1.14
247,Devils Lake,US,48.11,-98.87,-7.329999999999991,83,1,1.5
248,Nortelandia,BR,-14.45,-56.8,73.14800000000002,96,100,1.49
249,Saint Anthony,US,45.02,-93.22,3.46999999999996,59,1,4.1
250,Hamilton,US,39.18,-84.53,34.26799999999999,60,1,1.65
251,Severo-Kuril'sk,RU,50.68,156.12,21.23599999999997,82,77,5.63
252,Hornepayne,CA,49.21,-84.77,-7.978000000000016,93,23,3.3
253,Nichinan,JP,31.6,131.37,57.469999999999956,58,40,2.1
254,Manta,EC,-0.95,-80.73,79.06999999999996,88,75,3.1
255,Port Lincoln,AU,-34.73,135.87,63.59000000000002,60,100,4.45
256,Sechura,PE,-5.56,-80.82,74.91199999999995,84,59,2.78
257,Oum Hadjer,TD,13.3,19.7,66.092,27,4,4.14
258,Mahon,ES,39.89,4.27,44.86999999999996,93,0,3.1
259,Shimokizukuri,JP,40.81,140.39,39.272000000000034,47,40,5.7
260,Grindavik,IS,63.84,-22.43,35.86999999999996,75,90,9.8
261,Beringovskiy,RU,63.05,179.32,-11.451999999999977,85,0,8.33
262,Shugurovo,RU,54.51,52.13,31.801999999999975,98,99,3.91
263,Palafrugell,ES,41.92,3.16,45.266000000000005,100,0,1.5
264,Hambantota,LK,6.12,81.12,79.06999999999996,83,20,3.6
265,Nantucket,US,41.28,-70.1,35.86999999999996,43,1,7.2
